DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240512604,11/08/2024 12:00:00 AM,11/07/2024 12:00:00 AM,2230,5,Harbor,528,1,310,BURGLARY,0344,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,1100    MAHAR                        AV,,33.7853,-118.2464
241217397,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,200,12,77th Street,1265,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400 W  81ST                         ST,,33.9655,-118.3003
240214098,09/06/2024 12:00:00 AM,09/06/2024 12:00:00 AM,1405,2,Rampart,246,2,888,TRESPASSING,1822 0910 2052 1501,0,X,X,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
241314675,11/10/2024 12:00:00 AM,11/09/2024 12:00:00 AM,1700,13,Newton,1347,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,43RD                         ST,HONDURAS                     ST,34.0055,-118.244
240315672,10/25/2024 12:00:00 AM,10/24/2024 12:00:00 AM,2300,3,Southwest,392,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2800 W  48TH                         ST,,34.0,-118.3236
241314674,11/10/2024 12:00:00 AM,11/10/2024 12:00:00 AM,1300,13,Newton,1345,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4200    NAOMI                        AV,,34.0078,-118.2538
241806493,02/23/2024 12:00:00 AM,02/23/2024 12:00:00 AM,1540,18,Southeast,1838,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1259 1251 0305 0416,14,F,H,729,SPECIALTY SCHOOL/OTHER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,10700    WILMINGTON                   AV,,33.9389,-118.239
241911024,08/19/2024 12:00:00 AM,08/18/2024 12:00:00 AM,1540,19,Mission,1955,2,354,THEFT OF IDENTITY,0930,51,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    HIAWATHA                     ST,,34.2603,-118.4505
241207854,03/06/2024 12:00:00 AM,03/06/2024 12:00:00 AM,1410,12,77th Street,1268,1,210,ROBBERY,0342 1309 1822 0305 0448 0344 0429,41,F,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,8500 S  BROADWAY,,33.9615,-118.2783
241505226,01/24/2024 12:00:00 AM,01/24/2024 12:00:00 AM,2355,15,N Hollywood,1512,1,210,ROBBERY,0302 0355 0344 0216,47,M,H,102,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,12800    VANOWEN                      ST,,34.1939,-118.4119
241106390,03/03/2024 12:00:00 AM,03/01/2024 12:00:00 AM,2200,11,Northeast,1179,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,36,F,H,504,OTHER RESIDENCE,,,IC,Invest Cont,745,,,,3900    MIDLAND                      ST,,34.0905,-118.2098
242106633,03/06/2024 12:00:00 AM,03/06/2024 12:00:00 AM,605,21,Topanga,2139,1,310,BURGLARY,0344 0352 1609,61,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,7300    JUMILLA                      AV,,34.2034,-118.5634
241305110,01/24/2024 12:00:00 AM,01/24/2024 12:00:00 AM,1140,13,Newton,1325,1,210,ROBBERY,0945 1822 0344 0346 0400,32,F,H,210,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,CENTRAL                      AV,33RD                         ST,34.0136,-118.2565
241907658,04/09/2024 12:00:00 AM,04/09/2024 12:00:00 AM,1230,19,Mission,1982,1,330,BURGLARY FROM VEHICLE,1607 1822 2004 0344 1402 0329,72,M,B,108,PARKING LOT,,,AA,Adult Arrest,330,998.0,,,PARTHENIA,SEPULVEDA,34.2283,-118.4677
240215656,10/07/2024 12:00:00 AM,10/06/2024 12:00:00 AM,2050,2,Rampart,202,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352 1822,34,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,1000 N  VERMONT                      AV,,34.0897,-118.2917
240310292,05/01/2024 12:00:00 AM,05/01/2024 12:00:00 AM,200,3,Southwest,363,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0329 1307,23,X,X,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,930,,,,4100    BUCKINGHAM                   RD,,34.0121,-118.3423
241104553,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1430,11,Northeast,1141,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1700 N  BERENDO                      ST,,34.1018,-118.2945
240108354,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2115,1,Central,192,2,624,BATTERY - SIMPLE ASSAULT,0448,42,M,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1400 S  FIGUEROA                     ST,,34.0391,-118.269
